deu_2012,xbnl_2012,xfra_2012
74508900,28050500,89658000
71572500,27325200,88698400
68462400,25629200,84680200
65776700,24187800,86572900
63009400,23086400,84246100
61248500,22436700,81593200
59949900,22066500,80711200
58336200,22136300,81995900
56979000,22872000,84304100
60140800,24056000,86785100
64620800,25465300,89968400
68704000,27711000,91879800
71253900,28430800,90686400
72118900,28550400,90384800
71283800,28372300,90602900
69099600,27686000,86728100
67413400,26916800,83893500
66257500,26623900,82082300
65278700,26685000,81983100
68548700,27525100,84852100
73638200,29546100,92671400
71788800,29122900,91554600
67770000,27813000,88567800
66109100,26579300,86242900
67374300,26254100,89884900
65080900,25635600,89741500
62487200,24177300,86392200
59470300,22880300,86639700
57435600,22154800,84508400
55912800,21606300,81758200
54455500,21255500,80560900
53239700,21155800,80638500
50949700,21364500,81245500
51682400,21685000,82168800
55422800,22622700,84814800
60334100,24423800,86987400
63506300,25635100,87304700
65940100,26399300,86793900
65611100,26679100,86833200
63020900,26298700,82137300
61016100,25741900,78815500
59779700,25289300,77428700
59071200,25384000,77452200
62636700,26946500,80987200
68017300,28769500,89177700
67212200,28676700,89410500
64980800,27798900,86935400
63972100,26469300,83815900
65886000,25799000,86395200
63569500,24608200,85011200
61002300,23152000,81739500
59639400,22219500,81792600
58308600,21583700,80297700
57328600,21242500,77819600
58202800,21252700,77880500
61595800,22201200,81552900
70621300,25002400,86632800
78387400,28489900,89264200
80388700,30091700,90456500
81430700,31000500,91072400
82375000,31213200,90585200
83481500,31335800,90771800
83661000,30948400,90390700
83098500,31412700,88558000
82316400,31034600,86224300
81324900,30877000,84820700
80278300,30604000,84570200
82254300,31191300,86416800
84882400,31889900,92408200
83494200,31160400,89639400
79322500,29550000,85266600
75674100,28056100,81153200
73583000,27118000,83590000
69158300,25889900,82111800
65765200,24051100,77688000
63678800,22799900,79524700
61939700,21912300,77102600
61371500,21591700,74594000
62076600,21550800,74227700
64567900,22459000,77660500
71617400,24986800,82768900
78046900,28404500,85393300
80247200,29887000,85886400
81695300,30717700,86077900
82860400,30910800,85476800
83872600,31093000,85739000
83229600,30683900,85125200
82461300,30503600,83506500
81277800,30443300,81295600
79811300,30253700,80069800
78661100,30170600,79701500
80433500,31041600,81547000
82295700,31611500,87918500
80057400,30899100,85357000
75732700,29319600,80953800
72115400,27688600,77119300
69591900,26829300,79459900
64856600,25502400,77725300
60707900,23672100,73802400
58455800,22381700,75539900
56830600,21724100,73330900
56439500,21188200,70600400
57302200,21220700,70293000
59753200,22116400,73498900
67047700,24720000,78556200
73770500,28328200,81431100
75838600,29865500,82710000
77012900,30875800,83242300
78408100,31152800,82851400
79438600,31452500,83307100
78733600,31059500,82505600
78137800,31201300,80888000
77331500,31178100,78885300
76573500,30913000,77708600
75163400,30718100,77358900
76501100,31135100,78718300
79882600,31715600,84718500
78456400,30924300,81935000
73785500,29483000,77757700
70461400,27834200,73705200
68253100,26816700,76006400
63893900,25359100,74945700
60243200,23519900,70725200
58728400,22240700,71692600
57922100,21464200,69564200
58290200,21111600,66957500
59577200,21029700,66651000
62405500,21869300,70055300
69853000,24606000,76031000
76068600,28086600,78730100
78240100,29447700,79202500
79358100,30299900,79102300
80126400,30502300,78885300
81231800,30762100,79251600
80829200,30312900,78408900
79959700,30336100,76703800
78602400,30151700,74701100
77533900,29848400,73261200
75863900,29629300,72888900
77754800,29909900,74616600
81079900,31064600,81383000
79225800,30716000,79042400
74469800,29219500,74946700
71245900,27488200,71319400
68874200,26511100,73435000
63482100,25270400,72196500
59290800,23439600,68307000
56828300,22143600,69237100
55368700,21367100,67202000
55175500,20898300,64668900
56018600,20845700,64769100
58465000,21718500,68130200
65643300,24335400,74340600
72468500,27800800,77938400
74813700,29537900,78747800
75776400,30550400,78999200
77153200,30754500,78147600
78433400,30789500,77972800
77684600,30144400,77036800
76107700,30062300,74919200
74829800,29631100,72578600
73656600,29045400,70895100
72585800,28685700,70388300
74888500,29001900,72253500
77451100,30019200,78429500
75666000,29274500,76179300
70843300,27722500,72388000
67740100,26051600,69192000
66583000,25416200,71663200
62413600,24718700,70592600
